ID	country	lat	lon
6174	SWE	62.8719	18.3422
9363	SWE	62.9147	18.4045
9433	SWE	62.9513	18.2763
6235	SWE	62.9611	18.3589
6238	SWE	62.9619	18.35
1552	SWE	63.0833	18.3667
5860	SWE	62.6814	18.0165
6220	SWE	62.806	18.1896
8376	SWE	62.69	18
6209	SWE	62.8836	18.1842
8227	SWE	62.7989	17.9103
5856	SWE	63.0167	17.4914
6009	SWE	62.877	18.177
6173	SWE	62.8717	18.3419
6071	SWE	62.9308	18.3448
6244	SWE	62.9169	18.4728
6169	SWE	62.8714	18.3447
6917	SWE	63.0165	18.3174
8351	SWE	60.25	18.37
6064	SWE	62.9513	18.2763
6184	SWE	62.8892	18.4522
6013	SWE	62.877	18.177
6025	SWE	62.6437	17.7339
9427	SWE	62.8815	18.4055
6012	SWE	62.877	18.177
6154	SWE	62.6422	17.7406
6918	SWE	63.0165	18.3174
6237	SWE	62.9619	18.35
6214	SWE	63.0175	18.3281
1254	SWE	59.4333	17.0167
9388	SWE	62.806	18.1896
6010	SWE	62.877	18.177
6210	SWE	62.8839	18.1836
6217	SWE	63.0169	18.3283
6901	SWE	63.324	18.484
6166	SWE	62.6425	17.7372
6240	SWE	62.9622	18.35
1257	SWE	59.4333	17.0167
9386	SWE	62.806	18.1896
6172	SWE	62.8717	18.3436
7026	UK	54.4	-3.2667
6986	UK	57.1539	-2.2207
6943	UK	51.4083	-0.6383
6908	UK	51.4083	-0.6383
5718	UK	57	-3.4
4840	UK	50.4	-4.9
5210	UK	51.2	0.3
6944	UK	51.4083	-0.6383
5279	UK	51.3	1.1
6923	UK	51.4083	-0.6383
6924	UK	51.4083	-0.6383
5349	UK	51.1	0.4
5395	UK	54.4	-3
9298	UK	55.9681	-3.21833
5236	UK	51.2	0.4
5353	UK	54.5	-3
6966	UK	51.4083	-0.6383
5776	UK	52.9	-1.3
4939	UK	50.4	-4.7
5276	UK	51.3	1.1
5644	UK	54.4	-2.9
4900	UK	50.3	-4.8
7387	UK	54.9902	-2.3671
4857	UK	50.3	-4.9
4779	UK	50.4	-4.9
7109	UK	51.3	0.5
5577	UK	54.7	-3.4
5717	UK	54.6	-3.2
7064	UK	51.3	1.1
4884	UK	50.3	-4.9
5249	UK	51.2	0.3
5798	UK	53.1	-3.3
6967	UK	51.4083	-0.6383
5779	UK	51	-3.1
5741	UK	56.6	-4.1
4807	UK	50.4	-4.9
9312	UK	57.9	-5.1525
4958	UK	50.5	-4.5
6989	UK	54.8	-2.4333
5023	UK	51.3	0.5
9568	ESP	42.76	-0.23
9825	ESP	40.4	-3.88
9942	ESP	41.32	-1.34
7327	ESP	41.7833	3.03333
9855	ESP	40.57	-3.89
9876	ESP	41.34	0.99
9593	ESP	42.26	-2.99
9901	ESP	42.27	-2.98
9846	ESP	42.31	-3.02
9873	ESP	37.94	-5.45
9950	ESP	42.63	0.76
9902	ESP	40.71	-3.24
9532	ESP	42.23	-4.64
9564	ESP	40.45	-1.6
9528	ESP	40.94	-1.37
9537	ESP	38.07	-6.66
9577	ESP	42.34	2.17
9520	ESP	41.7	-3.68
9841	ESP	40.59	-4.15
9868	ESP	41.78	2.37
9546	ESP	40.82	-1.68
9856	ESP	40.51	-4
9544	ESP	39.4	-5.33
9601	ESP	41.85	-1.88
8264	ESP	41.6833	2.8
9888	ESP	40.93	-3.31
9525	ESP	42.49	0.54
6971	ESP	41.7194	2.93056
9567	ESP	42.34	1.3
9535	ESP	42.31	3.19
9560	ESP	38.19	-6.24
9586	ESP	41.03	-3.27
9886	ESP	42.38	1.73
9582	ESP	41.48	-1.63
9861	ESP	40.72	-3.21
9844	ESP	42.27	0.19
9850	ESP	42.86	-0.7
9540	ESP	41.81	2.34
9822	ESP	40.52	-4.02
9519	ESP	41.94	2.64
