sample	pop
1254	SWE
1257	SWE
1552	SWE
4779	UK
4807	UK
4840	UK
4857	UK
4884	UK
4900	UK
4939	UK
4958	UK
5023	UK
5210	UK
5236	UK
5249	UK
5276	UK
5279	UK
5349	UK
5353	UK
5395	UK
5577	UK
5644	UK
5717	UK
5718	UK
5741	UK
5776	UK
5779	UK
5798	UK
5856	SWE
5860	SWE
6009	SWE
6010	SWE
6012	SWE
6013	SWE
6025	SWE
6064	SWE
6071	SWE
6154	SWE
6166	SWE
6169	SWE
6172	SWE
6173	SWE
6174	SWE
6184	SWE
6209	SWE
6210	SWE
6214	SWE
6217	SWE
6220	SWE
6235	SWE
6237	SWE
6238	SWE
6240	SWE
6244	SWE
6901	SWE
6908	UK
6917	SWE
6918	SWE
6923	UK
6924	UK
6943	UK
6944	UK
6966	UK
6967	UK
6971	ESP
6986	UK
6989	UK
7026	UK
7064	UK
7109	UK
7327	ESP
7387	UK
8227	SWE
8264	ESP
8351	SWE
8376	SWE
9298	UK
9312	UK
9363	SWE
9386	SWE
9388	SWE
9427	SWE
9433	SWE
9519	ESP
9520	ESP
9525	ESP
9528	ESP
9532	ESP
9535	ESP
9537	ESP
9540	ESP
9544	ESP
9546	ESP
9560	ESP
9564	ESP
9567	ESP
9568	ESP
9577	ESP
9582	ESP
9586	ESP
9593	ESP
9601	ESP
9822	ESP
9825	ESP
9841	ESP
9844	ESP
9846	ESP
9850	ESP
9855	ESP
9856	ESP
9861	ESP
9868	ESP
9873	ESP
9876	ESP
9886	ESP
9888	ESP
9901	ESP
9902	ESP
9942	ESP
9950	ESP
