"1001.ID","collector_org","species_variant","country","name","lat","long","collector","some_date","cs","admixture_group","x","y"
6174,"GMI","TÃD 06","SWE","TÃD",62.8719,18.3422,"Mattias Jakobsson","2003-01-01 0:00:00","CS77337","north_sweden","","orange_circle"
9363,"GMI","EdJ 2","SWE","EdsÃ¤ttersjÃ¶n",62.9147,18.4045,"Alison Anastasio","","CS76833","north_sweden","","orange_circle"
9433,"GMI","Nyl 13","SWE","Nyland",62.9513,18.2763,"Alison Anastasio","","CS77135","north_sweden","","orange_circle"
6235,"GMI","TOM 01","SWE","TOM",62.9611,18.3589,"Mattias Jakobsson","2003-01-01 0:00:00","CS77372","north_sweden","","orange_circle"
6238,"GMI","TOM 04","SWE","TOM",62.9619,18.35,"Mattias Jakobsson","2003-01-01 0:00:00","CS77374","north_sweden","","orange_circle"
1552,"GMI","Sku-30","SWE","Sku",63.0833,18.3667,"Jon Ãgren","2003-01-01 0:00:00","CS77251","north_sweden","","orange_circle"
5860,"GMI","Dra-3","SWE","Dravla",62.6814,18.0165,"Magnus Nordborg","2000-06-25 0:00:00","CS77913","north_sweden","","orange_circle"
6220,"GMI","TGR 01","SWE","TGR",62.806,18.1896,"Mattias Jakobsson","2003-01-01 0:00:00","CS77365","north_sweden","","orange_circle"
8376,"GMI","Sanna-2","SWE","San",62.69,18,"Magnus Nordborg","2000-06-25 0:00:00","CS77234","north_sweden","","orange_circle"
6209,"GMI","TEDEN 02","SWE","TED",62.8836,18.1842,"Mattias Jakobsson","2003-01-01 0:00:00","CS77358","north_sweden","","orange_circle"
8227,"GMI","THÃ 03","SWE","THÃ",62.7989,17.9103,"Mattias Jakobsson","2003-01-01 0:00:00","CS77367","north_sweden","","orange_circle"
5856,"GMI","DÃ¶r-10","SWE","DÃ¶r",63.0167,17.4914,"Magnus Nordborg","2000-06-25 0:00:00","CS76806","north_sweden","","orange_circle"
6009,"GMI","Eden-1","SWE","Eden",62.877,18.177,"Magnus Nordborg","2000-06-25 0:00:00","CS76826","north_sweden","","orange_circle"
6173,"GMI","TÃD 05","SWE","TÃD",62.8717,18.3419,"Mattias Jakobsson","2003-01-01 0:00:00","CS77336","north_sweden","","orange_circle"
6071,"GMI","Omn-5","SWE","Omn",62.9308,18.3448,"Magnus Nordborg","2000-06-25 0:00:00","CS77146","north_sweden","","orange_circle"
6244,"GMI","TRÃ 01","SWE","TRÃ",62.9169,18.4728,"Mattias Jakobsson","2003-01-01 0:00:00","CS77384","north_sweden","","orange_circle"
6169,"GMI","TÃD 01","SWE","TÃD",62.8714,18.3447,"Mattias Jakobsson","2003-01-01 0:00:00","CS77333","north_sweden","","orange_circle"
6917,"GMI","FÃ¤b-2","SWE","FÃ¤b",63.0165,18.3174,"Magnus Nordborg","2000-06-25 0:00:00","CS76850","north_sweden","","orange_circle"
8351,"GMI","Ost-0","SWE","Ost",60.25,18.37,"Albert Kranz","","CS77154","north_sweden","","orange_circle"
6064,"GMI","Nyl-2","SWE","Nyl",62.9513,18.2763,"Magnus Nordborg","2000-06-25 0:00:00","CS77136","north_sweden","","orange_circle"
6184,"GMI","TBÃ 01","SWE","TBÃ",62.8892,18.4522,"Mattias Jakobsson","2003-01-01 0:00:00","CS77343","north_sweden","","orange_circle"
6013,"GMI","Eden-9","SWE","Eden",62.877,18.177,"Magnus Nordborg","2000-06-25 0:00:00","CS76830","north_sweden","","orange_circle"
6025,"GMI","Gro-3","SWE","Gro",62.6437,17.7339,"Magnus Nordborg","2000-06-25 0:00:00","CS76889","north_sweden","","orange_circle"
9427,"GMI","NÃ¤s 2","SWE","NÃ¤sÃ¤nget",62.8815,18.4055,"Alison Anastasio","","CS77122","north_sweden","","orange_circle"
6012,"GMI","Eden-7","SWE","Eden",62.877,18.177,"Magnus Nordborg","2000-06-25 0:00:00","CS76829","north_sweden","","orange_circle"
6154,"GMI","TAA 04","SWE","TAA",62.6422,17.7406,"Mattias Jakobsson","2003-01-01 0:00:00","CS77330","north_sweden","","orange_circle"
6918,"GMI","FÃ¤b-4","SWE","FÃ¤b",63.0165,18.3174,"Magnus Nordborg","2000-06-25 0:00:00","CS76851","north_sweden","","orange_circle"
6237,"GMI","TOM 03","SWE","TOM",62.9619,18.35,"Mattias Jakobsson","2003-01-01 0:00:00","CS77373","north_sweden","","orange_circle"
6214,"GMI","TFÃ 04","SWE","TFÃ",63.0175,18.3281,"Mattias Jakobsson","2003-01-01 0:00:00","CS78121","north_sweden","","orange_circle"
1254,"GMI","Tos-82-387","SWE","Tos",59.4333,17.0167,"Jon Ãgren","2001-01-01 0:00:00","CS77379","north_sweden","","orange_circle"
9388,"GMI","GrÃ¶n 14","SWE","GrÃ¶nsvik",62.806,18.1896,"Alison Anastasio","","CS76892","north_sweden","","orange_circle"
6010,"GMI","Eden-5","SWE","Eden",62.877,18.177,"Magnus Nordborg","2000-06-25 0:00:00","CS78000","north_sweden","","orange_circle"
6210,"GMI","TEDEN 03","SWE","TED",62.8839,18.1836,"Mattias Jakobsson","2003-01-01 0:00:00","CS77359","north_sweden","","orange_circle"
6217,"GMI","TFÃ 07","SWE","TFÃ",63.0169,18.3283,"Mattias Jakobsson","2003-01-01 0:00:00","CS77363","north_sweden","","orange_circle"
